Title,Authors,Published,DOI,Published_In,Referenced_By
Toolset and program repository for code coverage-based test suite analysis and manipulation,"Tengeri, D. and Beszédes, Á. and Havas, D. and Gyimóthy, T.",2014-09,,2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation,Tengeri2015
Toward a framework and benchmark for testing tools for multi-threaded programs,"Eytani, Y. and Havelund, K. and Stoller, S.D. and Ur, S.",2007,,,Sherman2009
Toward a software testing and reliability early warning metric suite,"Nagappan, N.",2004,,Proceedings. 26th International Conference on Software Engineering,Bowes2017
Toward a theory of test data selection,"John B., Susan L.",1975-6,10.1109/TSE.1975.6312836,IEEE Transactions on Software Engineering,
Toward generalization of mutant clustering results in mutation testing,"Derezińska, A.",2015,,"Advances in Intelligent Systems and Computing, Soft Computing in Computer and Information Science",Gopinath2017a
Toward practical mutation analysis for evaluating the quality of student-written software tests,"Zalia, Stephen H.",2013-8-12,10.1145/2493394.2493402,Proceedings of the ninth annual international ACM conference on International computing education research,
Toward the Determination of Sufficient Mutant Operators for C,"Barbosa, E.F. and Maldonado, J.C. and Vincenzi, A.M.R.",2001-06,,"Software Testing, Verification and Reliability",Inozemtseva2013
Toward the determination of sufficient mutant operators for C,"Ellen Francine, Jos� Carlos, Auri Marcelo Rizzo",2001,10.1002/stvr.226,"Software Testing, Verification and Reliability",
Toward variability-aware testing,"Christian, Alexander, Sebastian, Jonas, Sven, Tillmann, Klaus",2012,10.1145/2377816.2377817,Proceedings of the 4th International Workshop on Feature-Oriented Software Development - FOSD '12,
Towards a deeper understanding of test coverage,"Kanstrén, Teemu",2008,,Journal of Software Maintenance and Evolution: Research and Practice,Gergely2018
Towards a model-driven engineering solution for language independent mutation testing,"Gómez-Abajo, P. and Guerra, E. and Lara, J. and Merayo, M.G.",2018,,,GomezAbajo2020
Towards a practical approach to test aspect-oriented software,"Zhou, Y. and Richardson, D. and Ziv, H.",2004-09,,,Xie2006
Towards a taxonomy for Simulink model mutations,"Stephan, M. and Alalfi, M.H. and Cordy, J.R.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",Zhu2018
Towards a taxonomy of SUnit tests,"Gaelli, Markus and Lanza, Michele and Nierstrasz, Oscar",2005,,,Gergely2018
Towards an operationalization of test-driven development skills: An industrial empirical study,"Fucci, D. and Turhan, B. and Juristo, N. and Dieste, O. and Tosun-Misirli, A. and Oivo, M.",2015,,Information and Software Technology,Bowes2017
Towards automated unit testing of state-chart implementations,"Burton, Simon",1999,,,Harder2003
Towards automating the generation of mutation tests,"Mike, Nicos, Maria",2010,10.1145/1808266.1808283,Proceedings of the 5th Workshop on Automation of Software Test - AST '10,
Towards building a solid empirical body of knowledge in testing techniques,"N., A. M., S.",2004-9,10.1145/1022494.1022544,ACM SIGSOFT Software Engineering Notes,
Towards effective mutation testing for ATL,"Guerra, E. and Sánchez Cuadrado, J. and Lara, J.",2019,,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS),GomezAbajo2020
Towards mutation analysis of android apps,"Deng, L. and Mirzaei, N. and Ammann, P. and Offutt, J.",2015,,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",EscobarVelasquez2019
Towards systematic mutations for and with ATL model transformations,"Troya, J. and Bergmayr, A. and Burgueño, L. and Wimmer, M.",2015,,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",GomezAbajo2020
Towards the systematic testing of aspect-oriented programs,"Alexander, R.T. and Bieman, J.M. and Andrews, A.A.",2004,,,Xie2006
Transforming mutation testing from the technology of the future into the technology of the present,"Ammann, P.",2015,,,Tengeri2016
Transforming programs and tests in tandem for fault localization,"Xia, Lingming",2017-10-12,10.1145/3133916,Proceedings of the ACM on Programming Languages,
"Trivial Compiler Equivalence: A Large Scale Empirical Study of a Simple, Fast and Effective Equivalent Mutant Detection Technique","Mike, Yue, Mark, Yves",2015-5,10.1109/ICSE.2015.103,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,
"Trivial compiler equivalence: A large scale empirical study of a simple, fast and effective equivalent mutant detection technique","Papadakis, M. and Jia, Y. and Harman, M. and Traon, Y.Le",2015,,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,McMinn2019
Two Notions of Correctness and Their Relation to Testing,"Budd, T.A. and Angluin, D.",1982-03,,Acta Informatica,RealesMateo2013
Two notions of correctness and their relation to testing,"Timothy A., Dana",1982,10.1007/BF00625279,Acta Informatica,
Type sensitive application of mutation operators for dynamically typed programs,"Bottaci, L.",2010,,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",McMinn2019
Un-)Covering Equivalent Mutants,"Schuler, D. and Zeller, A.",2010,,"2010 Third International Conference on Software Testing, Verification and Validation",RealesMateo2013
Un-)covering equivalent mutants,"Schuler, D. and Zeller, A.",2010,,"2010 Third International Conference on Software Testing, Verification and Validation",Just2014a
Understanding myths and realities of test-suite evolution,"Pinto, L.S. and Sinha, S. and Orso, A.",2012,,Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering - FSE '12,Tengeri2015
Unit Test Frameworks: Tools for High-Quality Software Development,"Hamill, Paul",2004,,,Gergely2018
Unit testing aspectual behavior,"Lopes, C.V. and Ngo, T.",2005-03,,,Xie2006
Unit testing tool competition: round four,"Rueda, U. and Just, R. and Galeotti, J.P. and Vos, T.E.",2016,,,Rojas2017
Unit testing with JUnit - tutorial,"Vogella, L.",,,,Kracht2014
UnitPlus: Assisting Developer Testing in Eclipse,"Song, Y. and Thummalapenta, S. and Xie, T.",2007,,,Zhi2013
Using Branch Frequency Spectra to Evaluate Operational Coverage,"Marc, David S.",2017-12,10.1109/APSEC.2017.21,2017 24th Asia-Pacific Software Engineering Conference (APSEC),
Using Conditional Mutation to Increase the Efficiency of Mutation Analysis,"Just, R. and Kapfhammer, G.M. and Schweiggert, F.",2010,,Proceeding of the 6th international workshop on Automation of software test - AST '11,RealesMateo2013
Using Constraints for Equivalent Mutant Detection,"Simona, Franz",2012-7-8,10.4204/EPTCS.86.1,Electronic Proceedings in Theoretical Computer Science,
Using Logic Criterion Feasibility to Reduce Test Set Size While Guaranteeing Fault Detection,"Kaminski, G. and Amman, P.",2009,,2009 International Conference on Software Testing Verification and Validation,RealesMateo2013
"Using Mutants to Locate ""Unknown"" Faults","Mike, Yves",2012-4,10.1109/ICST.2012.159,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",
Using Mutation Analysis for Assessing and Comparing Testing Coverage Criteria,"J.H., L.C., Y., A.S.",2006-8,10.1109/TSE.2006.83,IEEE Transactions on Software Engineering,
Using Non-redundant Mutation Operators and Test Suite Prioritization to Achieve Efficient and Scalable Mutation Analysis,"Rene, Gregory M., Franz",2012-11,10.1109/ISSRE.2012.31,2012 IEEE 23rd International Symposium on Software Reliability Engineering,
Using Pre-Release Test Failures to Build Early Post-Release Defect Prediction Models,"Herzig, K.",2014,,2014 IEEE 25th International Symposium on Software Reliability Engineering,Bowes2017
Using Program Slicing to Assist in the Detection of Equivalent Mutants,"Hierons, R. and Harman, M. and Danicic, S.",1999-12,,"Software Testing, Verification and Reliability",RealesMateo2013
Using compiler optimization techniques to detect equivalent mutants,"A. Jefferson, W. Michael",1994,10.1002/stvr.4370040303,"Software Testing, Verification and Reliability",
Using conditional mutation to increase the efficiency of mutation analysis,"René, Gregory M., Franz",2011,10.1145/1982595.1982606,Proceeding of the 6th international workshop on Automation of software test - AST '11,
Using contracts and boolean queries to improve the quality of automatic test generation”,"Liu, L. and Meyer, B. and Schoeller, B.",2007,,"Tests and Proofs, Lecture Notes in Computer Science",Godio2019
Using data flow patterns for equivalent mutant detection,"Kintis, M. and Malevris, N.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",Tengeri2016
Using fault history to improve mutation reduction,"Laura, Hadi, Reid",2013,10.1145/2491411.2494586,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering - ESEC/FSE 2013,
Using model checking to generate tests from requirements specifications,"Gargantini, A. and Heitmeyer, C.",1999-11,,ACM SIGSOFT Software Engineering Notes,Rajan2008
Using mutation analysis for assessing and comparing testing coverage criteria,"Andrews, J. and Briand, L. and Labiche, Y. and Namin, A.",2006,,IEEE Transactions on Software Engineering,Kracht2014
Using non-redundant mutation operators and test suite prioritization to achieve efficient and scalable mutation analysis,"Just, R. and Kapfhammer, G.M. and Schweiggert, F.",2012,,2012 IEEE 23rd International Symposium on Software Reliability Engineering,Lindstroem2016
Using program slicing to assist in the detection of equivalent mutants,"Rob, Mark, Sebastian",1999-12,10.1002/(SICI)1099-1689(199912)9:4<233::AID-STVR191>3.0.CO;2-3,"Software Testing, Verification and Reliability",
Using simulation for assessing the real impact of test coverage on defect coverage,"Briand, L. and Pfahl, D.",1999,,Proceedings 10th International Symposium on Software Reliability Engineering (Cat. No.PR00443),Mirzaaghaei2014
Using simulation to empiricall investigate test coverage criteria based on statechart,"Briand, L. and Labiche, Y. and Wang, Y.",2004,,Proceedings. 26th International Conference on Software Engineering,Zhang2013
Using software testing to move students from trial-and-error to reflection-in-action,Stephen H.,2004,10.1145/971300.971312,Proceedings of the 35th SIGCSE technical symposium on Computer science education  - SIGCSE '04,
Using state infection conditions to detect equivalent mutants and speed up mutation analysis,"Just, R. and Ernst, M.D. and Fraser, G.",2013,,,Just2014a
Using test case reduction and prioritization to improve symbolic execution,"Chaoqiang, Alex, Mohammad Amin",2014,10.1145/2610384.2610392,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
Using the city metaphor for visualizing test-related metrics,"Balogh, G. and Gergely, T. and Beszédes, Á. and Gyimóthy, T.",2016,,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",Rojas2017
Validating Second-Order Mutation at System Level,"Pedro, Macario, Jose Luis",2013-4,10.1109/TSE.2012.39,IEEE Transactions on Software Engineering,
Validating and Improving Test-Case Effectiveness,"Chernak, Y.",2001,,IEEE Software,Bowes2017
Validating and improving test-case effectiveness,"Chernak, Y.",2001-01,,IEEE Software,Tengeri2015
Validation in model-driven engineering: testing model transformations,"Fleurey, F. and Steel, J. and Baudry, B.",2004,,"Proceedings. 2004 First International Workshop on Model, Design and Validation, 2004.",GomezAbajo2020
Virtual mutation analysis of relational database schemas,"McMinn, P. and Kapfhammer, G.M. and Wright, C.J.",2016,,Proceedings of the 11th International Workshop on Automation of Software Test - AST '16,McMinn2019
Visualization of test information to assist fault localization,"Jones, J.A. and Harrold, M.J. and Stasko, J.",2002,,Proceedings of the 24th international conference on Software engineering  - ICSE '02,Bruenink2018
Visualizing code and coverage changes for code review,"Sebastiaan, Arie van, Roberta, Anand Ashok, Alberto",2016-11,10.1145/2950290.2983929,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,
Weak Mutation Testing and Completeness of Test Sets,W.E.,1982-7,10.1109/TSE.1982.235571,IEEE Transactions on Software Engineering,
Weak mutation testing and completeness of test sets,"Howden, W.E.",1982,,IEEE Transactions on Software Engineering,Just2014a
What Do the Asserts in a Unit Test Tell Us about Code Quality? A Study on Open Source and Industrial Projects,"M. F., G. A., M. A.",2013-3,10.1109/CSMR.2013.21,2013 17th European Conference on Software Maintenance and Reengineering,
When only random testing will do,"Hamlet, D.",2006,,Proceedings of the 1st international workshop on Random testing  - RT '06,Gopinath2017a
"When, how, and why developers (do not) test in their IDEs","Beller, M. and Gousios, G. and Panichella, A. and Zaidman, A.",2015,,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,Rojas2017
Whispec: White-box testing of libraries using declarative specifications”,"Shao, D. and Khurshid, S. and Perry, D.E.",2007,,,Godio2019
Whole Test Suite Generation,"Gordon, Andrea",2013-2,10.1109/TSE.2012.14,IEEE Transactions on Software Engineering,
Wodel: a domain-specific language for model mutation,"Gómez-Abajo, P. and Guerra, E. and Lara, J.",2016,,,GomezAbajo2020
XACMUT: XACML 2.0 Mutants Generator,"Bertolino, A. and Daoudagh, S. and Lonetti, F. and Marchetti, E.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation Workshops",Daoudagh2015
XSTRESSOR : Automatic Generation of Large-Scale Worst-Case Test Inputs by Inferring Path Conditions,"Charitha, Jinkyu, Milind, Saurabh",2019-4,10.1109/ICST.2019.00011,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)",
XUnit Test Patterns: Refactoring Test Code,"Meszaros, G.",2006,,,Bowes2017
You Are the Only Possible Oracle: Effective Test Selection for End Users of Interactive Machine Learning Systems,"Alex, Todd, Chaoqiang, Shalini, Margaret, Weng-Keen, Simone, Shubhomoy, Amber, Forrest, Kevin",2014-3,10.1109/TSE.2013.59,IEEE Transactions on Software Engineering,
miudroid: An energy-aware mutation testing framework for android,"Jabbarvand, R. and Malek, S.",2017,,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,EscobarVelasquez2019
mrstudyr: Retrospectively studying the effectiveness of mutant reduction techniques,"McCurdy, C.J. and McMinn, P. and Kapfhammer, G.M.",2016,,2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),McMinn2019
un-)covering equivalent mutants,"Schuler, D. and Zeller, A.",2010,,"2010 Third International Conference on Software Testing, Verification and Validation",McMinn2019
xUnit Test Patterns: Refactoring Test Code,"Meszaros, G.",2007,,,Zhi2013
